=== VitaSuwayomi Perf Log ===
FPS | Frame(ms) | Max(ms) | TexUp | Pending | Sections...
-----------------------------------------------------------
FPS:29 Frame:34.6ms Max:34.8ms TexUp:0 Pend:0 | grid_draw:21.9ms
FPS:29 Frame:35.2ms Max:35.3ms TexUp:0 Pend:0 | grid_draw:22.1ms
FPS:28 Frame:34.3ms Max:34.4ms TexUp:0 Pend:0 | grid_draw:21.7ms
FPS:29 Frame:34.6ms Max:34.6ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:29 Frame:34.5ms Max:34.7ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:28 Frame:34.3ms Max:49.9ms TexUp:0 Pend:0 | grid_draw:21.7ms
FPS:27 Frame:34.9ms Max:35.1ms TexUp:0 Pend:0 | grid_draw:22.0ms
FPS:29 Frame:34.9ms Max:35.0ms TexUp:0 Pend:0 | grid_draw:22.1ms
FPS:29 Frame:34.4ms Max:34.8ms TexUp:0 Pend:0 | grid_draw:21.6ms
FPS:29 Frame:34.5ms Max:34.7ms TexUp:0 Pend:0 | grid_draw:21.7ms
FPS:29 Frame:34.5ms Max:34.7ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:29 Frame:34.6ms Max:34.7ms TexUp:0 Pend:0 | grid_draw:21.7ms
FPS:29 Frame:34.7ms Max:35.0ms TexUp:0 Pend:0 | grid_draw:21.9ms
FPS:29 Frame:34.8ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:21.9ms
FPS:29 Frame:34.6ms Max:34.7ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:28 Frame:34.3ms Max:34.4ms TexUp:0 Pend:0 | grid_draw:21.9ms
FPS:28 Frame:34.7ms Max:35.4ms TexUp:0 Pend:0 | grid_draw:22.1ms
FPS:29 Frame:34.6ms Max:35.0ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:29 Frame:35.4ms Max:36.0ms TexUp:0 Pend:0 | grid_draw:22.4ms
FPS:28 Frame:34.5ms Max:34.8ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:28 Frame:34.4ms Max:35.3ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:29 Frame:34.3ms Max:35.3ms TexUp:0 Pend:0 | grid_draw:21.7ms
FPS:29 Frame:35.1ms Max:35.2ms TexUp:0 Pend:0 | grid_draw:22.3ms
FPS:27 Frame:34.7ms Max:35.0ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:29 Frame:34.4ms Max:34.8ms TexUp:0 Pend:0 | grid_draw:21.7ms
FPS:29 Frame:34.5ms Max:34.8ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:29 Frame:34.7ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:21.9ms
FPS:28 Frame:34.3ms Max:34.4ms TexUp:0 Pend:0 | grid_draw:21.7ms
FPS:28 Frame:50.8ms Max:50.8ms TexUp:1 Pend:0 | grid_draw:23.7ms
FPS:28 Frame:34.2ms Max:37.7ms TexUp:0 Pend:0 | grid_draw:21.8ms
FPS:29 Frame:34.7ms Max:35.6ms TexUp:0 Pend:0 | grid_draw:21.9ms
FPS:29 Frame:35.7ms Max:51.6ms TexUp:0 Pend:0 | grid_draw:22.5ms
FPS:12 Frame:31.4ms Max:50.4ms TexUp:0 Pend:0 | grid_draw:18.6ms
FPS:30 Frame:32.5ms Max:34.4ms TexUp:0 Pend:0 | grid_draw:19.5ms
FPS:31 Frame:32.4ms Max:32.6ms TexUp:0 Pend:0 | grid_draw:19.4ms
FPS:31 Frame:32.3ms Max:32.5ms TexUp:0 Pend:0 | grid_draw:19.4ms
FPS:31 Frame:32.3ms Max:32.4ms TexUp:0 Pend:0 | grid_draw:19.4ms
FPS:31 Frame:32.4ms Max:32.5ms TexUp:0 Pend:0 | grid_draw:19.5ms
FPS:31 Frame:32.5ms Max:32.6ms TexUp:0 Pend:0 | grid_draw:19.5ms
